Source,Year,Mean
GCAG,2016,0.9363
GISTEMP,2016,0.99
GCAG,2015,NA
GISTEMP,2015,NA
GCAG,2014,0.7408
GISTEMP,2014,0.74
GCAG,2013,0.6679
GISTEMP,2013,0.65
GCAG,2012,0.6240
GISTEMP,2012,0.63
GCAG,2011,0.5788
GISTEMP,2011,0.6
GCAG,2010,0.7014
GISTEMP,2010,0.71
GCAG,2009,0.6367
GISTEMP,2009,0.64
GCAG,2008,0.5419
GISTEMP,2008,0.54
GCAG,2007,0.6100
GISTEMP,2007,0.66
GCAG,2006,0.6125
GISTEMP,2006,0.63
GCAG,2005,0.6585
GISTEMP,2005,0.69
GCAG,2004,0.5783
GISTEMP,2004,0.55
GCAG,2003,0.6134
GISTEMP,2003,0.62
